ds,yhat,yhat_lower,yhat_upper
2023-01-01,122.03434341799196,94.76331674944645,152.53857044775734
2023-01-02,143.54561923157092,115.04217238296255,171.7285065810617
2023-01-03,145.3241764153657,117.34126611390481,174.51766643626084
2023-01-04,145.77955866878264,117.80026254460904,175.34748318038967
2023-01-05,144.60492210478134,116.46493403542063,172.50645648897137
2023-01-06,145.657705783861,117.04627272920158,173.83607242280732
2023-01-07,125.15691414422899,98.88269795570575,152.75197124718738
2023-01-08,125.67734531509149,98.45509400419314,153.10457470169666
2023-01-09,147.18862112866015,119.12975270655335,176.51587326054093
2023-01-10,148.9671783124228,120.59772393827444,180.46854200541156
2023-01-11,149.42256056586203,120.32613855092549,177.88631981653324
2023-01-12,148.2479240018672,118.65607663822,177.6683672447555
2023-01-13,149.30070768093512,120.45646448505559,177.8095696208529
2023-01-14,128.79991604127628,101.92827243139858,156.59088172724373
2023-01-15,129.32034721217065,102.06091697012153,156.5324378852458
2023-01-16,150.831623025666,121.69635774311871,178.36657350130324
2023-01-17,152.61018020950067,125.41261413461059,180.73890327373
2023-01-18,153.06556246293482,126.73744993510235,181.48224687734037
2023-01-19,151.89092589893818,122.0842831332494,179.24029176515555
2023-01-20,152.9437095779943,124.34261334738252,183.3973945090295
2023-01-21,132.44291793836285,104.68534290454423,159.03622532681024
2023-01-22,132.96334910924975,105.48249650783073,160.56011354783246
2023-01-23,154.4746249227723,129.2362255895859,181.39210170243547
2023-01-24,156.25318210657852,128.35989944574231,184.9448616005876
2023-01-25,156.70856436001796,128.35882104312432,184.88147043448993
2023-01-26,155.5339277960407,128.28189788972742,181.41150006695165
2023-01-27,156.58671147516372,127.77528202743537,186.60361509258746
2023-01-28,136.08591983551804,106.45982190703606,162.35876789823297
2023-01-29,136.6063510063891,110.08643846743908,166.3260549264008
2023-01-30,158.11762681991672,130.26022403646076,185.9910426115327
2023-01-31,159.89618400373033,129.64018530220847,187.14748875038808
2023-02-01,160.35156625718005,132.2475518132087,189.78110819238393
2023-02-02,159.17692969320342,129.82655684026403,188.38334615743673
2023-02-03,160.22971337229217,132.95316975121077,189.5884737676236
2023-02-04,139.72892173268892,111.2234392287828,168.83076854092243
2023-02-05,140.24935290357297,112.00017288400535,164.4826212854325
2023-02-06,161.76062871709024,130.91412922605628,191.16902985455363
2023-02-07,163.53918590091152,135.5920036916013,192.9123426931592
2023-02-08,163.9945681543355,136.01325991646675,191.9041346271584
2023-02-09,162.81993159036617,134.29544322887534,191.94689591902235
2023-02-10,163.87271526945062,136.46682586400624,190.99966982196116
2023-02-11,143.3719236298205,116.19408778382301,171.86863389983247
2023-02-12,143.89235480067867,115.49025633110645,171.36958698359774
2023-02-13,165.40363061426376,136.86714747931148,193.64359553549164
2023-02-14,167.18218779804255,139.8623306816416,194.61513440740558
2023-02-15,167.63757005384488,138.9606011327625,195.12020870141367
2023-02-16,166.46293349222285,138.28060528136734,192.98998516081727
2023-02-17,167.51571717364618,138.91227794111472,197.8101677064549
2023-02-18,147.0149255363549,116.62150269371097,174.5522285555942
2023-02-19,147.535356709616,118.94371194207214,176.97251273500098
2023-02-20,169.04663252554153,140.90654738487598,197.9584599813778
2023-02-21,170.82518971165962,141.30725353750583,198.15634599154166
2023-02-22,171.28057196745524,144.49673930529474,197.10768427313337
2023-02-23,170.1059354058216,144.16435117238186,198.90421638673314
2023-02-24,171.1587190873037,143.42718973677637,197.73299364313817
2023-02-25,150.65792744998066,121.47080696237566,179.73572886906135
2023-02-26,151.178358623214,120.0603078374553,179.12002777968806
2023-02-27,172.6896344391529,144.60540973157822,202.2215242508295
2023-02-28,174.46819162528533,147.85876028048497,204.17867738336594
2023-03-01,174.9235738810656,145.80860805120295,203.5382758589304
2023-03-02,173.7489373194318,146.13866564735608,200.89561303711758
2023-03-03,174.80172100090206,146.44126658556718,201.28841051002158
2023-03-04,154.30092936356718,127.85480114924964,182.07413902243235
2023-03-05,154.82136053685275,126.10973539763867,183.81462000324896
2023-03-06,176.33263635271507,149.7205031666652,203.5524458963627
2023-03-07,178.11119353890243,149.0075259727974,205.52050349767225
2023-03-08,178.56657578355575,151.08030816420376,208.88055772894094
2023-03-09,177.39193921081002,145.39628595313198,204.07642704230457
2023-03-10,178.44472288113013,150.64352431968908,205.6292867387591
2023-03-11,157.94393123273935,128.22736807584053,186.54495625614547
2023-03-12,158.4643623948743,130.3895289114077,185.68850446229723
2023-03-13,179.97563819960294,152.90382173782615,207.3360486140089
2023-03-14,181.75419537464512,156.27539035894787,210.55722977242246
2023-03-15,182.2095776193021,153.44477131145263,211.3912671631935
2023-03-16,181.03494104655624,151.70595778413545,209.2777972708875
2023-03-17,182.08772471686447,153.02637219347716,210.8123157673552
2023-03-18,161.58693306846186,134.08687770422662,188.1449100737291
2023-03-19,162.10736423060834,132.9686107721265,189.47569109399242
2023-03-20,183.61864003538443,154.9104070069468,211.92258878729493
2023-03-21,185.39719721038787,156.17714746436766,212.070280377191
2023-03-22,185.85257945505512,158.75414097771494,213.0309032541577
2023-03-23,184.6779428823025,155.25349081355893,213.25346247328457
2023-03-24,185.7307265526139,156.34380840810545,214.44674926115655
2023-03-25,165.22993490420401,138.86559288882373,194.6992457520167
2023-03-26,165.75036606638312,138.4409054874627,192.60810311860286
2023-03-27,187.26164187106556,155.85033170637178,214.96763699865005
2023-03-28,189.04019904613057,161.46197110353924,215.75088274819083
2023-03-29,189.49558129381654,162.03239760199816,216.87903453799484
2023-03-30,188.32094472407474,160.1679827381222,217.49252244159536
2023-03-31,189.37372839737836,159.3989781485042,220.7081004310054
2023-04-01,168.87293675200632,139.9273049267441,195.610722950021
2023-04-02,169.39336791715496,141.91217989647882,196.7725587793271
2023-04-03,190.90464372492025,162.91801456411073,219.65623594825215
2023-04-04,192.68320090298897,165.11297625416282,221.84936150331794
2023-04-05,193.1385831506698,162.1127002560105,220.59862514634992
2023-04-06,191.9639465809263,164.68921273211723,222.55232887453516
2023-04-07,193.0167302542922,165.2959215352669,222.95144311132591
2023-04-08,172.51593860885382,145.33500065190674,198.80599030929528
2023-04-09,173.0363697740146,145.73591348652207,200.89368475260633
2023-04-10,194.54764558177294,166.36658242246074,223.9020017592897
2023-04-11,196.32620275982657,167.80488906449332,225.88569709681536
2023-04-12,196.7815850075231,170.26785664943304,224.37417166599005
2023-04-13,195.60694843779262,166.206089043091,224.87180835657682
2023-04-14,196.65973211113186,169.89733389371867,225.26815358187562
2023-04-15,176.1589404656816,147.5289808429323,204.64234253939176
2023-04-16,176.67937163087427,149.347201913426,205.05086966333607
2023-04-17,198.19064743862558,168.16337056472761,226.45124227220617
2023-04-18,199.96920461670402,171.41710070967926,227.7608546236376
2023-04-19,200.42458687526505,173.1866672378376,226.5847624747518
2023-04-20,199.2499503164215,169.57335393100877,227.1290758948969
2023-04-21,200.30273400065255,170.93737583173092,228.8336896610415
2023-04-22,179.80194236610336,152.83600086361534,209.07497051188204
2023-04-23,180.32237354211952,151.80514358774892,208.46479023162573
2023-04-24,201.83364936084442,172.37537893651825,229.93514529956644
2023-04-25,203.61220654977262,174.9576469276671,230.82664406966924
2023-04-26,204.06758880834397,176.4014131859509,232.21829295427392
2023-04-27,202.89295224950104,173.82310280425173,230.97769312589074
2023-04-28,203.94573593372786,176.2506281892963,231.89696046459662
2023-04-29,183.44494429921153,155.37985206008423,209.01632993858098
2023-04-30,183.96537547519983,155.70256057744393,213.33948768632936
2023-05-01,205.4766512939177,177.64151468665835,232.69216915211666
2023-05-02,207.25520848285169,178.97189467401952,235.6149902708047
2023-05-03,207.7105907414179,180.61320952958675,235.67827870984897
2023-05-04,206.53595418256177,179.07093907025654,235.34742201332924
2023-05-05,207.58873786677316,176.34413050212038,236.07753581999853
2023-05-06,187.08794623227962,159.59360823395713,214.08173878835558
2023-05-07,187.60837740830053,159.4385610050548,216.64210299757437
2023-05-08,209.11965322700811,180.29543992949172,236.0241934586994
2023-05-09,210.8982104159307,182.17946371666164,242.09596893715755
2023-05-10,211.3536784661856,182.98328578008002,238.56671596916797
2023-05-11,210.1791276990322,181.372989195478,240.7956677201002
2023-05-12,211.2319971749347,181.56333095751313,239.68632581777433
2023-05-13,190.73129133212936,164.19403203093114,217.68925963576058
2023-05-14,191.25180829985788,164.79126718341203,219.20186616096896
2023-05-15,212.76316991020465,183.5597167803324,240.15197341294842
2023-05-16,214.5418128908568,186.08286873528758,243.7866177924858
2023-05-17,214.99728094112902,188.2704353195002,241.8685427985319
2023-05-18,213.82273017397213,184.4317955851555,241.5101161921017
2023-05-19,214.87559964986283,186.27167017453263,240.56144194051953
2023-05-20,194.37489380712498,166.69406210560592,223.6844865757735
2023-05-21,194.8954107748264,165.3933427682673,222.48728264518093
2023-05-22,216.40677238516287,188.72361131064523,245.07493675905835
2023-05-23,218.18541536580366,189.3394680697216,247.18995128293304
2023-05-24,218.6408834160691,190.86626281071202,245.70948455909055
2023-05-25,217.4663326489196,189.97624415231323,247.5567771778934
2023-05-26,218.51920212485012,190.17382989990347,246.5140052234254
2023-05-27,198.0184962820609,170.36352986213276,225.21418724552507
2023-05-28,198.53901324975416,169.18330801630555,227.85815470169896
2023-05-29,220.050374860104,190.3810811859509,246.38239233220747
2023-05-30,221.82901784074878,193.36934004645113,251.0728829185315
2023-05-31,222.2844859018732,193.9503231355583,250.75749096505453
2023-06-01,221.1099351455742,194.6598347549881,248.14241570009958
2023-06-02,222.16280463235023,193.64440962063824,251.0967552085124
2023-06-03,201.66209880042612,172.65043361926914,228.04233949997496
2023-06-04,202.1826157790093,173.40477059704176,231.94505647652713
2023-06-05,223.69397740020617,192.42978977846514,250.25382085843768
2023-06-06,225.47262039169692,197.06865436982582,251.73428157288376
2023-06-07,225.92808845281627,197.34612854205915,253.94563893891947
2023-06-08,224.75353769653032,196.02243256149333,254.1952575971006
2023-06-09,225.8064071832796,196.84947740918346,254.73940776566104
2023-06-10,205.30570135134363,177.230517289132,232.78509666355933
2023-06-11,205.8262183299009,179.4001010960541,234.95980139939374
2023-06-12,227.33757995114854,198.6076277787169,254.51646782941694
2023-06-13,229.11622294263464,203.4546620702325,257.25522827158045
2023-06-14,229.57169100375927,201.24097334355335,259.12493942856725
2023-06-15,228.39714024747155,201.16396253252867,256.4662706231118
2023-06-16,229.45000973426818,199.52908814624794,258.80821452547093
2023-06-17,208.94930390226122,180.45920759161092,236.71647285129401
2023-06-18,209.46982088085036,179.5481881851337,236.3514622555012
2023-06-19,230.98118250212514,202.58553966179193,258.9482946727779
2023-06-20,232.7598254935724,204.1593074271605,260.84333536694396
2023-06-21,233.21529355470068,205.2487579641324,262.2500454015693
2023-06-22,232.04074232819698,203.5263130360233,260.1367645386444
2023-06-23,233.09361134480383,204.6387436305836,260.65536300571114
2023-06-24,212.59290504258522,184.30713690520398,240.78856077196875
2023-06-25,213.1134215509822,185.04433622927402,242.92781141819447
2023-06-26,234.6247827019963,205.90895567071854,265.1450076692287
2023-06-27,236.40342522330278,207.26819170164055,263.67085131511146
2023-06-28,236.85889281421126,206.8088546184911,264.1896483711374
2023-06-29,235.68434158771487,207.41904367855912,265.2877305023877
2023-06-30,236.73721060428738,209.73184896444695,265.9380698541141
2023-07-01,216.23650430209165,188.78891832016055,244.78375888142523
