Date,Forecast
2024-10-23,217.88944394847823
2024-10-24,217.8842927919076
2024-10-25,217.63257986248158
2024-10-28,217.56110097307075
2024-10-29,217.5750889371392
2024-10-30,217.57711076175818
2024-10-31,217.542044800608
2024-11-01,217.53901983513936
2024-11-04,217.54306908440074
2024-11-05,217.54301153469623
2024-11-06,217.53803609386816
2024-11-07,217.53858414560568
2024-11-08,217.53925008141707
2024-11-11,217.53913334488195
2024-11-12,217.53843559918988
2024-11-13,217.53865043336816
2024-11-14,217.5387306169839
2024-11-15,217.53869589326825
2024-11-18,217.53860094983574
2024-11-19,217.53865046911685
2024-11-20,217.538656036091
2024-11-21,217.53864890373202
2024-11-22,217.53863650168827
2024-11-25,217.53864609394535
2024-11-26,217.53864553962234
2024-11-27,217.53864437175298
2024-11-28,217.53864282422214
2024-11-29,217.53864451682367
2024-12-02,217.5386441780508
2024-12-03,217.53864402671906
